MTask_001_BufferTestOutput File
Time 	Trial 	TargetName 	TargetNumber	HeadX 	HeadZ 	HeadAngle	LFootX 	LFootZ 	LFootAngle 	RFootX 	RFootZ 	RFootAngle	IsPredictedLocation
0	0	None 	None	54.99512	102.5581	87.06424	57	104.4	90	57	104.4	90	0
0	0	None	None	54.99512	102.5581	87.06424	57	104.4	90	57	104.4	90	0
120	0	None 	None	54.99512	102.5581	87.06248	54.82031	103.0567	276.6947	54.81417	103.1742	271.0478	0
120	0	None	None	54.99512	102.5581	87.06248	54.82031	103.0567	276.6947	54.81417	103.1742	271.0478	0
228.0734	0	None 	None	54.99129	102.5595	87.24187	54.81814	103.0605	276.7874	54.81203	103.178	271.1462	0
228.0734	0	None	None	54.99129	102.5595	87.24187	54.81814	103.0605	276.7874	54.81203	103.178	271.1462	0
339.2373	0	None 	None	54.98491	102.5665	87.44186	54.8133	103.068	276.9798	54.80768	103.1855	271.3713	0
339.2373	0	None	None	54.98491	102.5665	87.44186	54.8133	103.068	276.9798	54.80768	103.1855	271.3713	0
447.7418	0	None 	None	54.98497	102.5666	87.43677	54.81333	103.0681	276.9873	54.80764	103.1855	271.3716	0
447.7418	0	None	None	54.98497	102.5666	87.43677	54.81333	103.0681	276.9873	54.80764	103.1855	271.3716	0
547.7836	0	None 	None	54.93768	102.6199	88.95265	54.77925	103.1258	278.4699	54.77672	103.2433	272.8784	0
547.7836	0	None	None	54.93768	102.6199	88.95265	54.77925	103.1258	278.4699	54.77672	103.2433	272.8784	0
659.367	0	None 	None	54.85027	102.7265	91.85025	54.71768	103.2397	281.3622	54.72097	103.3572	275.7632	0
659.367	0	None	None	54.85027	102.7265	91.85025	54.71768	103.2397	281.3622	54.72097	103.3572	275.7632	0
770.3689	0	None 	None	54.84734	102.7302	91.93834	54.71562	103.2437	281.4799	54.71914	103.3613	275.8447	0
770.3689	0	None	None	54.84734	102.7302	91.93834	54.71562	103.2437	281.4799	54.71914	103.3613	275.8447	0
881.4461	0	None 	None	54.84735	102.7304	91.92934	54.71556	103.2438	281.4725	54.71929	103.3614	275.8412	0
881.4461	0	None	None	54.84735	102.7304	91.92934	54.71556	103.2438	281.4725	54.71929	103.3614	275.8412	0
982.4831	0	None 	None	54.84741	102.7302	91.93958	54.71555	103.2438	281.4693	54.7192	103.3615	275.8439	0
982.4831	0	None	None	54.84741	102.7302	91.93958	54.71555	103.2438	281.4693	54.7192	103.3615	275.8439	0
1085.775	0	None 	None	54.84733	102.7303	91.93618	54.7156	103.2438	281.4789	54.71929	103.3613	275.8392	0
1085.775	0	None	None	54.84733	102.7303	91.93618	54.7156	103.2438	281.4789	54.71929	103.3613	275.8392	0
1195.798	0	None 	None	54.84739	102.7302	91.95928	54.71559	103.2435	281.4769	54.71926	103.3612	275.844	0
1195.798	0	None	None	54.84739	102.7302	91.95928	54.71559	103.2435	281.4769	54.71926	103.3612	275.844	0
1297.143	0	None 	None	54.84739	102.7302	91.94434	54.7155	103.2438	281.4861	54.71925	103.3613	275.8318	0
1297.143	0	None	None	54.84739	102.7302	91.94434	54.7155	103.2438	281.4861	54.71925	103.3613	275.8318	0
1407.11	0	None 	None	54.84732	102.7303	91.9443	54.71553	103.2437	281.4728	54.7191	103.3613	275.8402	0
1407.11	0	None	None	54.84732	102.7303	91.9443	54.71553	103.2437	281.4728	54.7191	103.3613	275.8402	0
1507.419	0	None 	None	54.84728	102.7303	91.93622	54.7156	103.2437	281.5068	54.71928	103.3613	275.8373	0
1507.419	0	None	None	54.84728	102.7303	91.93622	54.7156	103.2437	281.5068	54.71928	103.3613	275.8373	0
1608.527	0	None 	None	54.84729	102.7303	91.93549	54.71554	103.2437	281.4966	54.71925	103.3613	275.8433	0
1608.527	0	None	None	54.84729	102.7303	91.93549	54.71554	103.2437	281.4966	54.71925	103.3613	275.8433	0
1718.333	0	None 	None	54.84721	102.7303	91.94041	54.71558	103.2437	281.4937	54.7192	103.3612	275.8551	0
1718.333	0	None	None	54.84721	102.7303	91.94041	54.71558	103.2437	281.4937	54.7192	103.3612	275.8551	0
1818.585	0	None 	None	54.84729	102.7303	91.94933	54.71554	103.2436	281.467	54.71918	103.3613	275.8743	0
1818.585	0	None	None	54.84729	102.7303	91.94933	54.71554	103.2436	281.467	54.71918	103.3613	275.8743	0
1920.204	0	None 	None	54.84737	102.7303	91.95406	54.71559	103.2439	281.4839	54.71914	103.3614	275.8771	0
1920.204	0	None	None	54.84737	102.7303	91.95406	54.71559	103.2439	281.4839	54.71914	103.3614	275.8771	0
2028.573	0	None 	None	54.84731	102.7302	91.94466	54.71562	103.2439	281.4904	54.71931	103.3613	275.8727	0
2028.573	0	None	None	54.84731	102.7302	91.94466	54.71562	103.2439	281.4904	54.71931	103.3613	275.8727	0
2139.569	0	None 	None	54.8473	102.7303	91.97623	54.71571	103.2437	281.4918	54.71918	103.3613	275.887	0
2139.569	0	None	None	54.8473	102.7303	91.97623	54.71571	103.2437	281.4918	54.71918	103.3613	275.887	0
2239.986	0	None 	None	54.84734	102.7303	91.95451	54.71568	103.2438	281.5004	54.71932	103.3614	275.8628	0
2239.986	0	None	None	54.84734	102.7303	91.95451	54.71568	103.2438	281.5004	54.71932	103.3614	275.8628	0
2340.536	0	None 	None	54.84733	102.7303	91.94615	54.71541	103.2438	281.4942	54.71918	103.3613	275.8341	0
2340.536	0	None	None	54.84733	102.7303	91.94615	54.71541	103.2438	281.4942	54.71918	103.3613	275.8341	0
2451.159	0	None 	None	54.84731	102.7304	91.94684	54.71551	103.2438	281.5034	54.71918	103.3615	275.8329	0
2451.159	0	None	None	54.84731	102.7304	91.94684	54.71551	103.2438	281.5034	54.71918	103.3615	275.8329	0
2562.159	0	None 	None	54.8473	102.7303	91.94784	54.7156	103.2438	281.4907	54.7192	103.3613	275.8446	0
2562.159	0	None	None	54.8473	102.7303	91.94784	54.7156	103.2438	281.4907	54.7192	103.3613	275.8446	0
2662.275	0	None 	None	54.84729	102.7303	91.93887	54.7156	103.2438	281.507	54.71922	103.3613	275.8463	0
2662.275	0	None	None	54.84729	102.7303	91.93887	54.7156	103.2438	281.507	54.71922	103.3613	275.8463	0
2773.595	0	None 	None	54.84739	102.7304	91.93751	54.71567	103.2439	281.5068	54.71925	103.3613	275.8483	0
2773.595	0	None	None	54.84739	102.7304	91.93751	54.71567	103.2439	281.5068	54.71925	103.3613	275.8483	0
2883.654	0	None 	None	54.84733	102.7303	91.92745	54.71562	103.2439	281.5013	54.71915	103.3614	275.8617	0
2883.654	0	None	None	54.84733	102.7303	91.92745	54.71562	103.2439	281.5013	54.71915	103.3614	275.8617	0
2984.617	0	None 	None	54.84732	102.7302	91.94001	54.71564	103.2437	281.4946	54.71927	103.3612	275.8641	0
2984.617	0	None	None	54.84732	102.7302	91.94001	54.71564	103.2437	281.4946	54.71927	103.3612	275.8641	0
3094.618	0	None 	None	54.84728	102.7302	91.92815	54.7156	103.2438	281.4895	54.71924	103.3613	275.8586	0
3094.618	0	None	None	54.84728	102.7302	91.92815	54.7156	103.2438	281.4895	54.71924	103.3613	275.8586	0
3194.69	0	None 	None	54.84726	102.7303	91.9382	54.71557	103.244	281.4863	54.71925	103.3613	275.8527	0
3194.69	0	None	None	54.84726	102.7303	91.9382	54.71557	103.244	281.4863	54.71925	103.3613	275.8527	0
3295.297	0	None 	None	54.8473	102.7302	91.92591	54.71546	103.2437	281.5081	54.71933	103.3613	275.8516	0
3295.297	0	None	None	54.8473	102.7302	91.92591	54.71546	103.2437	281.5081	54.71933	103.3613	275.8516	0
3406.105	0	None 	None	54.84737	102.7303	91.93525	54.71559	103.2439	281.4913	54.71917	103.3613	275.8472	0
3406.105	0	None	None	54.84737	102.7303	91.93525	54.71559	103.2439	281.4913	54.71917	103.3613	275.8472	0
3506.147	0	None 	None	54.84724	102.7302	91.93332	54.71549	103.2436	281.4833	54.71908	103.3613	275.8516	0
3506.147	0	None	None	54.84724	102.7302	91.93332	54.71549	103.2436	281.4833	54.71908	103.3613	275.8516	0
3606.329	0	None 	None	54.84726	102.7303	91.93392	54.71564	103.2437	281.4894	54.71918	103.3613	275.8568	0
3606.329	0	None	None	54.84726	102.7303	91.93392	54.71564	103.2437	281.4894	54.71918	103.3613	275.8568	0
3716.69	0	None 	None	54.84735	102.7303	91.93256	54.71559	103.2438	281.4741	54.71912	103.3613	275.8628	0
3716.69	0	None	None	54.84735	102.7303	91.93256	54.71559	103.2438	281.4741	54.71912	103.3613	275.8628	0
3817.438	0	None 	None	54.84727	102.7302	91.94422	54.71552	103.2437	281.4972	54.7193	103.3613	275.8575	0
3817.438	0	None	None	54.84727	102.7302	91.94422	54.71552	103.2437	281.4972	54.7193	103.3613	275.8575	0
3917.769	0	None 	None	54.84734	102.7303	91.94495	54.71553	103.2439	281.5071	54.71916	103.3613	275.8744	0
3917.769	0	None	None	54.84734	102.7303	91.94495	54.71553	103.2439	281.5071	54.71916	103.3613	275.8744	0
4027.835	0	None 	None	54.84733	102.7302	91.93475	54.71568	103.2438	281.4896	54.71927	103.3612	275.8639	0
4027.835	0	None	None	54.84733	102.7302	91.93475	54.71568	103.2438	281.4896	54.71927	103.3612	275.8639	0
4128.513	0	None 	None	54.84732	102.7302	91.94367	54.71544	103.2439	281.4908	54.71923	103.3612	275.8604	0
4128.513	0	None	None	54.84732	102.7302	91.94367	54.71544	103.2439	281.4908	54.71923	103.3612	275.8604	0
4228.564	0	None 	None	54.84728	102.7303	91.93525	54.71558	103.2438	281.4998	54.71924	103.3614	275.8721	0
4228.564	0	None	None	54.84728	102.7303	91.93525	54.71558	103.2438	281.4998	54.71924	103.3614	275.8721	0
4339.299	0	None 	None	54.84735	102.7302	91.92914	54.71564	103.2438	281.4797	54.71925	103.3613	275.86	0
4339.299	0	None	None	54.84735	102.7302	91.92914	54.71564	103.2438	281.4797	54.71925	103.3613	275.86	0
4439.568	0	None 	None	54.84729	102.7303	91.94945	54.71561	103.2438	281.4646	54.7192	103.3613	275.8616	0
4439.568	0	None	None	54.84729	102.7303	91.94945	54.71561	103.2438	281.4646	54.7192	103.3613	275.8616	0
4551.096	0	None 	None	54.84729	102.7303	91.9315	54.71555	103.2438	281.4641	54.71921	103.3614	275.8748	0
4551.096	0	None	None	54.84729	102.7303	91.9315	54.71555	103.2438	281.4641	54.71921	103.3614	275.8748	0
4661.24	0	None 	None	54.84736	102.7303	91.94565	54.71562	103.2438	281.463	54.71913	103.3612	275.8733	0
4661.24	0	None	None	54.84736	102.7303	91.94565	54.71562	103.2438	281.463	54.71913	103.3612	275.8733	0
4772.261	0	None 	None	54.8473	102.7302	91.93513	54.71566	103.2438	281.4662	54.71924	103.3612	275.8642	0
4772.261	0	None	None	54.8473	102.7302	91.93513	54.71566	103.2438	281.4662	54.71924	103.3612	275.8642	0
4873.709	0	None 	None	54.84729	102.7303	91.94284	54.71556	103.244	281.4616	54.7193	103.3614	275.8612	0
4873.709	0	None	None	54.84729	102.7303	91.94284	54.71556	103.244	281.4616	54.7193	103.3614	275.8612	0
4983.911	0	None 	None	54.84737	102.7303	91.9481	54.71561	103.244	281.4885	54.71923	103.3614	275.8521	0
4983.911	0	None	None	54.84737	102.7303	91.9481	54.71561	103.244	281.4885	54.71923	103.3614	275.8521	0
5095.309	0	None 	None	54.84735	102.7303	91.94005	54.71563	103.2437	281.4713	54.71923	103.3613	275.8495	0
5095.309	0	None	None	54.84735	102.7303	91.94005	54.71563	103.2437	281.4713	54.71923	103.3613	275.8495	0
5195.333	0	None 	None	54.84732	102.7302	91.93761	54.71545	103.2438	281.4875	54.71925	103.3613	275.8549	0
5195.333	0	None	None	54.84732	102.7302	91.93761	54.71545	103.2438	281.4875	54.71925	103.3613	275.8549	0
5296.632	0	None 	None	54.8473	102.7302	91.93508	54.71559	103.2439	281.479	54.71924	103.3614	275.8443	0
