MTask_002_ASMPOutput File
Time 	Trial 	TargetName 	TargetNumber	HeadX 	HeadZ 	HeadAngle	LFootX 	LFootZ 	LFootAngle 	RFootX 	RFootZ 	RFootAngle	IsPredictedLocation
-0.02	0	None	None	54.74123	103.2873	281.3426	57	104.4	90	57	104.4	90	0
119.9	0	None	None	54.74122	103.2873	281.3434	54.90508	103.9637	323.712	55.14477	104.2945	272.3571	0
221.8736	0	None	None	54.74122	103.2873	281.3651	54.93155	103.9554	329.1707	55.14524	104.2953	271.937	0
333.2388	0	None	None	54.74122	103.2873	281.3407	55.06898	103.8309	306.0134	55.02013	104.2479	266.8036	0
436.4399	0	None	None	54.74127	103.2875	281.3561	55.01954	103.7689	311.5014	54.97239	104.2383	268.9752	0
548.1724	0	None	None	54.74119	103.2874	281.3463	54.93792	103.7363	319.6225	54.97345	104.2432	266.7203	0
659.3187	0	None	None	54.74136	103.2874	281.36	54.94868	103.7683	328.7706	54.96273	104.2495	268.0201	0
768.7756	0	None	None	54.74123	103.2873	281.3583	54.943	103.7647	317.703	54.95528	104.2505	271.9988	0
869.1749	0	None	None	54.74117	103.2873	281.3586	54.94951	103.7352	316.0338	54.94351	104.2486	271.2867	0
970.1215	0	None	None	54.74126	103.2872	281.3524	54.95061	103.7354	316.1276	54.93121	104.2413	268.1875	0
1075.049	0	None	None	54.74131	103.2873	281.3471	54.95062	103.7352	315.8115	54.9366	104.2432	269.6132	0
1185.57	0	None	None	54.74115	103.2874	281.353	54.95372	103.7347	315.64	54.93848	104.2412	268.2914	0
1287.185	0	None	None	54.74129	103.2875	281.3432	54.95541	103.7315	314.628	54.94058	104.2401	267.5806	0
1396.625	0	None	None	54.74132	103.2873	281.359	54.95867	103.7236	313.0744	54.94492	104.2408	266.8981	0
1503.212	0	None	None	54.74132	103.2874	281.3604	54.95896	103.7253	314.3669	54.94609	104.2421	268.4335	0
1604.97	0	None	None	54.74138	103.2874	281.353	54.9628	103.727	318.44	54.94898	104.246	270.7521	0
1714.916	0	None	None	54.74115	103.2873	281.474	54.97308	103.7222	327.7777	54.95124	104.2457	270.8071	0
1815.589	0	None	None	54.73944	103.2877	281.4881	54.97655	103.7235	328.0928	54.9496	104.2428	268.9655	0
1919.31	0	None	None	54.73521	103.2829	282.5602	54.97673	103.7237	328.3123	54.94894	104.2415	268.5858	0
2028.489	0	None	None	54.76087	103.277	282.845	54.97726	103.7239	327.5286	54.94841	104.2401	267.6248	0
2128.839	0	None	None	54.78723	103.2785	284.7592	54.97701	103.7233	326.9792	54.94724	104.2389	267.0832	0
2229.17	0	None	None	54.80959	103.2867	291.7406	54.97659	103.723	327.1038	54.94658	104.2387	266.8425	0
2329.504	0	None	None	54.82999	103.2985	307.0197	54.97678	103.7236	327.7416	54.94733	104.2395	267.6751	0
2429.577	0	None	None	54.84743	103.3115	325.761	54.97649	103.7235	327.4811	54.94744	104.2394	267.3455	0
2530.021	0	None	None	54.86105	103.3285	343.2115	54.97501	103.7185	326.9856	54.9468	104.2389	267.0139	0
2638.977	0	None	None	54.86887	103.3427	0.08413754	54.97531	103.7185	327.2777	54.94696	104.2385	267.0477	0
2750.802	0	None	None	54.87683	103.3498	15.28249	54.97509	103.7185	327.1284	54.94695	104.239	267.14	0
2860.784	0	None	None	54.88344	103.3456	29.21077	54.97499	103.7184	327.2057	54.94714	104.239	267.1597	0
2970.906	0	None	None	54.88775	103.329	40.62352	54.97514	103.7182	327.0775	54.94727	104.2389	267.1786	0
3080.318	0	None	None	54.89019	103.3108	49.34414	54.97506	103.7183	326.9206	54.94719	104.2391	267.1402	0
3180.794	0	None	None	54.88775	103.2956	54.94023	54.97512	103.7178	326.9145	54.94711	104.2389	267.0446	0
3291.786	0	None	None	54.88001	103.2936	57.55029	54.97484	103.7177	326.8189	54.9472	104.2391	267.0608	0
3392.434	0	None	None	54.87531	103.2915	58.78204	54.97491	103.7172	326.6451	54.94708	104.2386	267.0349	0
3494.963	0	None	None	54.87129	103.2851	58.70908	54.97483	103.7171	326.5638	54.94698	104.2386	266.9602	0
3595.095	0	None	None	54.86754	103.2855	59.03374	54.97504	103.7172	326.6212	54.94679	104.2386	267.0457	0
3696.166	0	None	None	54.86583	103.2835	59.00077	54.975	103.717	326.514	54.94664	104.2383	266.9316	0
3805.087	0	None	None	54.86614	103.2799	59.57574	54.97482	103.7168	326.4966	54.94597	104.2381	266.9261	0
3915.368	0	None	None	54.86721	103.2793	59.18509	54.97483	103.7169	326.4064	54.94556	104.2376	266.8019	0
4026.809	0	None	None	54.86772	103.2794	59.19063	54.97465	103.7171	326.487	54.94554	104.238	266.9791	0
4127.69	0	None	None	54.86747	103.2795	59.27946	54.97482	103.7169	326.4759	54.94585	104.238	267.0655	0
4228.835	0	None	None	54.86739	103.2787	59.31968	54.97476	103.7174	326.5762	54.94588	104.238	266.9435	0
4339.607	0	None	None	54.86821	103.2813	59.29395	54.97489	103.7175	326.5391	54.94592	104.2379	267.0012	0
4440.589	0	None	None	54.86967	103.2818	59.51392	54.97497	103.7168	326.2662	54.94582	104.2379	266.8847	0
4551.327	0	None	None	54.86875	103.284	58.91833	54.97529	103.7168	326.3212	54.94575	104.2378	266.8435	0
4652.475	0	None	None	54.86837	103.284	59.3946	54.9756	103.7162	326.1464	54.94564	104.2371	266.5918	0
4760.047	0	None	None	54.86731	103.2744	61.28185	54.97578	103.7161	326.3463	54.94545	104.2371	266.6174	0
4876.456	0	None	None	54.87543	103.2582	65.35726	54.97583	103.7165	326.4415	54.94577	104.2371	266.5891	0
4978.455	0	None	None	54.87854	103.2412	72.61367	54.9759	103.7164	326.4383	54.94563	104.2375	266.8883	0
5078.678	0	None	None	54.87626	103.2425	74.00774	54.97635	103.7165	326.7305	54.94591	104.238	267.0009	0
5189.994	0	None	None	54.87735	103.2401	72.54727	54.97638	103.7165	326.346	54.94588	104.2382	267.5621	0
5300.135	0	None	None	54.87727	103.2406	72.40211	54.97676	103.7175	327.0021	54.94571	104.2379	267.4929	0
5400.875	0	None	None	54.87693	103.2409	72.50542	54.9771	103.7182	327.031	54.9458	104.2375	267.0918	0
5502.09	0	None	None	54.87691	103.2411	72.54182	54.97787	103.7185	326.8697	54.94505	104.2365	266.5908	0
5605.235	0	None	None	54.87706	103.2408	72.40171	54.97805	103.7171	325.5999	54.94348	104.234	265.5993	0
5705.249	0	None	None	54.87703	103.2409	72.41386	54.97385	103.7145	325.0898	54.9427	104.2325	264.4786	0
5816.466	0	None	None	54.87692	103.2409	72.41999	54.97249	103.7154	324.8903	54.94378	104.232	263.5767	0
5927.616	0	None	None	54.87709	103.2411	72.41918	54.97379	103.7183	327.4958	54.94667	104.2354	264.6565	0
6030.017	0	None	None	54.87704	103.2411	72.43307	54.97261	103.7177	326.6195	54.94574	104.2364	265.8782	0
6136.485	0	None	None	54.87708	103.2412	72.41954	54.9735	103.7181	327.4261	54.94551	104.2369	265.9454	0
6246.244	0	None	None	54.87703	103.2413	72.42609	54.97426	103.7178	327.3595	54.94515	104.2363	265.7068	0
6357.056	0	None	None	54.87709	103.2412	72.42561	54.97459	103.7173	327.162	54.94427	104.2356	265.4725	0
6459.829	0	None	None	54.87704	103.2413	72.43417	54.97469	103.717	327.0593	54.94419	104.2355	265.427	0
6560.625	0	None	None	54.87703	103.2413	72.43809	54.97499	103.7173	327.113	54.94445	104.2358	265.4786	0
6672.141	0	None	None	54.87699	103.2414	72.43647	54.97481	103.7175	327.1883	54.94436	104.2358	265.4389	0
6773.713	0	None	None	54.87709	103.2415	72.43085	54.97458	103.7174	327.2002	54.94452	104.236	265.4465	0
6880.425	0	None	None	54.87713	103.2415	72.44184	54.97464	103.7174	327.1658	54.94447	104.2359	265.3881	0
6980.599	0	None	None	54.87714	103.2416	72.44648	54.97459	103.7174	327.1571	54.94443	104.2361	265.3758	0
7081.049	0	None	None	54.87709	103.2416	72.44073	54.97457	103.7172	327.1733	54.9445	104.2359	265.3598	0
7181.473	0	None	None	54.87713	103.2416	72.46865	54.97456	103.7173	327.1719	54.94451	104.2358	265.3843	0
7290.488	0	None	None	54.87712	103.2417	72.45893	54.97468	103.7173	327.164	54.94457	104.236	265.3585	0
7390.864	0	None	None	54.87711	103.2417	72.44886	54.97473	103.7173	327.1329	54.94462	104.2358	265.3589	0
7500.349	0	None	None	54.87708	103.2419	72.46854	54.97467	103.7173	327.1345	54.9445	104.236	265.3638	0
7602.741	0	None	None	-2.122884	-1.15824	72.46305	-2.025471	-0.6826565	327.1546	-2.055382	-0.1637981	265.3581	0
7706.174	0	None	None	-2.122925	-1.158197	72.45606	-2.02528	-0.6827891	327.1485	-2.05527	-0.1639755	265.3419	0
