MTask_999_LagTestOutput File
Time 	Trial 	TargetName 	TargetNumber	HeadX 	HeadZ 	HeadAngle	LFootX 	LFootZ 	LFootAngle 	RFootX 	RFootZ 	RFootAngle	IsPredictedLocation
0	0	None 	None	55.48503	102.9571	295.8019	57	104.4	90	57	104.4	90	0
120	0	None 	None	55.48503	102.9571	295.802	54.80163	103.1855	258.0259	54.85104	103.074	253.0134	0
222.5564	0	None 	None	55.4847	102.9562	295.809	54.80156	103.1863	258.0118	54.85111	103.0743	253.0262	0
336.612	0	None 	None	55.48474	102.9562	295.8005	54.80147	103.1864	257.9957	54.85106	103.0745	253.0304	0
441.5818	0	None 	None	55.48463	102.9562	295.8084	54.80144	103.1867	257.9821	54.85104	103.0747	253.0425	0
542.0846	0	None 	None	55.48462	102.9561	295.8064	54.80151	103.1867	257.966	54.8511	103.0746	253.0229	0
652.7155	0	None 	None	55.48473	102.9563	295.8016	54.80139	103.1871	257.9668	54.85091	103.0751	253.0307	0
753.461	0	None 	None	55.48461	102.9561	295.8034	54.80145	103.1869	257.9861	54.85102	103.0754	253.0057	0
863.0937	0	None 	None	55.48468	102.9563	295.819	54.80132	103.1865	257.9929	54.85094	103.0755	253.0085	0
964.8624	0	None 	None	55.48463	102.9562	295.8028	54.80153	103.186	257.9928	54.85104	103.0752	253.0143	0
1068.154	0	None 	None	55.48463	102.956	295.8222	54.8015	103.186	257.9875	54.85092	103.0751	253.0214	0
1169.436	0	None 	None	55.4846	102.9561	295.8188	54.80155	103.1853	257.9758	54.85105	103.0753	252.998	0
1279.454	0	None 	None	55.4846	102.9561	295.8173	54.80148	103.1858	257.969	54.85114	103.0748	253.0072	0
1379.999	0	None 	None	55.48454	102.9561	295.82	54.80135	103.1863	257.9874	54.85101	103.0747	253.0253	0
1490.329	0	None 	None	55.4846	102.9561	295.8116	54.80154	103.1864	257.9945	54.85098	103.0751	253.0253	0
1602.058	0	None 	None	55.48465	102.9561	295.8151	54.80153	103.1864	257.9957	54.85088	103.0753	253.0317	0
1710.932	0	None 	None	55.48458	102.9561	295.8184	54.80145	103.1868	257.9965	54.85106	103.0751	253.0276	0
1810.999	0	None 	None	55.48459	102.956	295.8114	54.80137	103.1868	257.9925	54.85107	103.0747	253.0249	0
1911.964	0	None 	None	55.4847	102.9561	295.814	54.80147	103.1866	257.9944	54.85102	103.0745	253.0275	0
2012.097	0	None 	None	55.48459	102.956	295.8043	54.80152	103.1861	257.9904	54.85099	103.0744	253.0316	0
