coroutine1 Output File 
Time 	Trial 	TargetName 	TargetNumber	HeadX 	HeadZ 	HeadAngle	LFootX 	LFootZ 	LFootAngle 	RFootX 	RFootZ 	RFootAngle	IsPredictedLocation
39640.64	1	book	1	-2.898398	0.6534111	95.38257	-2.854236	-0.09683585	288.6017	-2.693998	0.3229809	292.1744	0
39675.08	1	book	1	-2.898481	0.6534369	95.37692	-2.853968	-0.09701276	288.6105	-2.694014	0.3230042	292.1662	0
39705.73	1	book	1	-2.89847	0.6534822	95.37674	-2.852225	-0.09779382	288.5801	-2.694026	0.3228068	292.1566	0
39737.98	1	book	1	-2.898515	0.6534078	95.36867	-2.851987	-0.09792781	288.5608	-2.694022	0.322794	292.1657	0
39769.63	1	book	1	-2.898525	0.6533895	95.37625	-2.851689	-0.09812188	288.5627	-2.69401	0.3228514	292.1689	0
39802.5	1	book	1	-2.898486	0.6533792	95.36844	-2.85394	-0.09697914	288.5859	-2.694123	0.3229313	292.1563	0
39836.08	1	book	1	-2.898517	0.6533558	95.37707	-2.853729	-0.09709716	288.6064	-2.69406	0.3230486	292.1826	0
39868.25	1	book	1	-2.898554	0.6533613	95.36309	-2.853488	-0.09723449	288.6228	-2.694094	0.3229952	292.1768	0
39900.74	1	book	1	-2.898561	0.6533024	95.36371	-2.852575	-0.09762597	288.6198	-2.694088	0.323046	292.177	0
39933.87	1	book	1	-2.898567	0.6533208	95.35498	-2.852124	-0.09783578	288.6384	-2.694051	0.3231103	292.2063	0
39966.84	1	book	1	-2.898504	0.653188	95.36604	-2.850734	-0.09860444	288.6345	-2.694007	0.3229628	292.188	0
40000.82	1	book	1	-2.898539	0.6532471	95.38295	-2.850415	-0.098809	288.6405	-2.694016	0.3229623	292.1862	0
40032.77	1	book	1	-2.898507	0.6532326	95.35893	-2.851891	-0.09798551	288.668	-2.693941	0.3229949	292.1804	0
40065.59	1	book	1	-2.898525	0.6531503	95.37569	-2.851975	-0.09783864	288.697	-2.693936	0.3229172	292.1829	0
40098.58	1	book	1	-2.898595	0.6532009	95.3634	-2.849231	-0.09908628	288.6819	-2.694067	0.3230169	292.1857	0
40132.88	1	book	1	-2.898565	0.6532278	95.36066	-2.848804	-0.09922695	288.7159	-2.69407	0.3229933	292.1884	0
40165.87	1	book	1	-2.898521	0.6533055	95.3672	-2.849651	-0.09874249	288.7521	-2.69401	0.3229539	292.1749	0
40197.96	1	book	1	-2.89851	0.6533027	95.37453	-2.849107	-0.09901738	288.7521	-2.694066	0.3230093	292.1739	0
40232.42	1	book	1	-2.898546	0.6532731	95.37044	-2.848682	-0.09922957	288.7196	-2.693939	0.3230679	292.1736	0
40264.16	1	book	1	-2.898519	0.6532304	95.35938	-2.848254	-0.09942341	288.7283	-2.694048	0.3232012	292.1744	0
40296.95	1	book	1	-2.898482	0.6531384	95.36498	-2.847684	-0.09978366	288.7007	-2.694012	0.3230722	292.1898	0
40330.51	1	book	1	-2.898507	0.6531751	95.35751	-2.847879	-0.09976792	288.6988	-2.694026	0.3231204	292.1786	0
40363.47	1	book	1	-2.898516	0.6530969	95.37126	-2.848195	-0.09964514	288.6728	-2.693921	0.3230274	292.1704	0
40396.15	1	book	1	-2.89853	0.653096	95.36236	-2.848816	-0.09936929	288.6844	-2.693921	0.3230188	292.1662	0
40429.47	1	book	1	-2.898475	0.653085	95.37423	-2.848426	-0.09955764	288.6951	-2.693863	0.3229434	292.1694	0
40462.63	1	book	1	-2.898501	0.6530247	95.37524	-2.848043	-0.09974027	288.732	-2.693917	0.322942	292.1562	0
40497.08	1	book	1	-2.89847	0.6530635	95.3697	-2.847629	-0.1000147	288.7031	-2.693901	0.3229377	292.1712	0
40529.95	1	book	1	-2.898532	0.6530147	95.35887	-2.847764	-0.09992909	288.615	-2.693997	0.3229525	292.1744	0
40562.32	1	book	1	-2.898583	0.652914	95.35676	-2.845513	-0.101042	288.5423	-2.693985	0.322901	292.1462	0
40595.45	1	book	1	-2.898639	0.6528964	95.37674	-2.844062	-0.1016943	288.7049	-2.694014	0.3228776	292.1251	0
40628.92	1	book	1	-2.898632	0.6528585	95.3717	-2.848003	-0.09982514	288.5731	-2.694032	0.3227725	292.1022	0
40663.15	1	book	1	-2.898654	0.6528528	95.37269	-2.850192	-0.09873199	288.5795	-2.693986	0.3227215	292.1225	0
40694.45	1	book	1	-2.898679	0.6529191	95.36954	-2.849481	-0.09911656	288.5908	-2.693996	0.3226891	292.1208	0
40727.2	1	book	1	-2.898623	0.6529214	95.37125	-2.853652	-0.09699988	288.6599	-2.694062	0.3228557	292.1628	0
40761	1	book	1	-2.898603	0.6528935	95.37043	-2.853463	-0.09702611	288.6546	-2.694072	0.3228478	292.211	0
40793.84	1	book	1	-2.898623	0.652854	95.36503	-2.85331	-0.09706664	288.702	-2.694164	0.3227975	292.1934	0
40827.7	1	book	1	-2.898568	0.6529467	95.36791	-2.853084	-0.09715319	288.6967	-2.694143	0.3226635	292.1989	0
40860.92	1	book	1	-2.898598	0.6529751	95.37224	-2.855179	-0.09625745	288.6323	-2.69415	0.323092	292.1765	0
40893.94	1	book	1	-2.898556	0.6529129	95.36843	-2.853645	-0.09700489	288.6107	-2.694133	0.3230965	292.1744	0
40926.29	1	book	1	-2.898573	0.6529276	95.36053	-2.853673	-0.09690928	288.6235	-2.693938	0.3231385	292.1872	0
40959.09	1	book	1	-2.898659	0.6528609	95.36967	-2.85615	-0.09557819	288.6705	-2.694025	0.3231332	292.1977	0
40993.11	1	book	1	-2.898593	0.6528857	95.38435	-2.856505	-0.09532952	288.7189	-2.694041	0.3229721	292.2101	0
41025.37	1	book	1	-2.898561	0.6528752	95.38276	-2.856349	-0.0953052	288.7236	-2.694002	0.3228862	292.2232	0
41058.09	1	book	1	-2.898553	0.6528184	95.38346	-2.856136	-0.09533668	288.7212	-2.694064	0.3229921	292.2207	0
41090.66	1	book	1	-2.898471	0.6528327	95.36649	-2.855146	-0.09590983	288.7045	-2.694099	0.3229845	292.2326	0
41123.67	1	book	1	-2.898449	0.6527579	95.37067	-2.854955	-0.0959537	288.7066	-2.694021	0.3229716	292.1962	0
41157.71	1	book	1	-2.898483	0.6527598	95.37441	-2.854722	-0.09600735	288.6541	-2.694007	0.3229799	292.1872	0
41189.67	1	book	1	-2.898479	0.652791	95.36858	-2.856907	-0.09530902	288.621	-2.694093	0.3229249	292.1783	0
41221.96	1	book	1	-2.898467	0.652703	95.36617	-2.858714	-0.09455132	288.5685	-2.694026	0.3229182	292.1693	0
41254.45	1	book	1	-2.898447	0.6526158	95.36603	-2.85867	-0.09459424	288.5649	-2.694094	0.3230093	292.1584	0
41287.34	1	book	1	-2.898474	0.6525278	95.35447	-2.857766	-0.09510016	288.5428	-2.694015	0.3229246	292.1462	0
41321.43	1	book	1	-2.898584	0.6525548	95.36311	-2.858	-0.09510994	288.5449	-2.69407	0.3228698	292.1756	0
41353.44	1	book	1	-2.898541	0.6527455	95.35254	-2.857955	-0.09519267	288.5286	-2.693998	0.3230617	292.1611	0
41385.5	1	book	1	-2.898577	0.6527321	95.35909	-2.857892	-0.09520125	288.5757	-2.693946	0.323024	292.1743	0
41418	1	book	1	-2.898582	0.6526713	95.36333	-2.858198	-0.09495401	288.6143	-2.694151	0.3230941	292.1783	0
41450.81	1	book	1	-2.898593	0.6526048	95.36591	-2.860862	-0.09369111	288.5748	-2.694182	0.3230722	292.1814	0
41484.42	1	book	1	-2.898548	0.6526232	95.37021	-2.862994	-0.09263897	288.5914	-2.694093	0.3230875	292.169	0
41516.55	1	book	1	-2.898571	0.6525118	95.36343	-2.863127	-0.09257007	288.5675	-2.694076	0.3229952	292.1705	0
41549.26	1	book	1	-2.898587	0.6527002	95.36883	-2.86242	-0.09288383	288.5241	-2.694004	0.3230093	292.2211	0
41582.03	1	book	1	-2.8986	0.6526704	95.36613	-2.862577	-0.09276152	288.5231	-2.693912	0.3228769	292.1723	0
41616	1	book	1	-2.898635	0.6526349	95.36635	-2.864326	-0.09191966	288.565	-2.693931	0.322896	292.1605	0
41649.32	1	book	1	-2.89869	0.6525311	95.36486	-2.86592	-0.09098172	288.5674	-2.69394	0.3228731	292.1771	0
41682.34	1	book	1	-2.898737	0.6525908	95.37493	-2.867283	-0.09033275	288.6265	-2.693957	0.3228664	292.1747	0
41714.58	1	book	1	-2.89871	0.65253	95.37191	-2.868111	-0.08994174	288.7336	-2.694003	0.3229837	292.1969	0
41747.52	1	book	1	-2.898735	0.6525524	95.35954	-2.867758	-0.09021401	288.5991	-2.693977	0.3230333	292.2042	0
41780.23	1	book	1	-2.898716	0.6525798	95.38351	-2.869304	-0.08945107	288.5595	-2.694006	0.3230958	292.182	0
41814.19	1	book	1	-2.898777	0.6525786	95.36774	-2.869376	-0.08956313	288.4815	-2.693903	0.3229954	292.1699	0
