fullTest Output File 
Time 	Trial 	TargetName 	TargetNumber	HeadX 	HeadZ 	HeadAngle	LFootX 	LFootZ 	LFootAngle 	RFootX 	RFootZ 	RFootAngle	IsPredictedLocation
14333.32	1	book	1	-1.885487	0.1980085	92.54446	-1.326951	0.5134113	217.5397	-1.248564	0.3096093	194.4126	0
14344.43	1	book	1	-1.885292	0.1981672	92.4418	-1.326859	0.513305	211.3016	-1.248515	0.3095134	193.038	0
14355.54	1	book	1	-1.884933	0.1986369	92.19518	-1.326995	0.5133277	209.923	-1.248526	0.3094827	192.572	0
14366.66	1	book	1	-1.884703	0.1993808	91.87464	-1.327047	0.5132912	214.7225	-1.248656	0.3095363	194.1542	0
14377.77	1	book	1	-1.884731	0.199957	91.69108	-1.32688	0.5135297	214.1639	-1.248397	0.3095835	194.195	0
14388.88	1	book	1	-1.885158	0.2014173	90.96393	-1.327028	0.5135551	210.6338	-1.248465	0.3095378	193.1405	0
14399.99	1	book	1	-1.885507	0.2019541	90.851	-1.326958	0.5134823	213.4822	-1.248456	0.3095449	192.6272	0
14411.1	1	book	1	-1.885558	0.2022247	90.80231	-1.326986	0.5133222	213.1604	-1.248564	0.3096031	192.9801	0
14422.21	1	book	1	-1.885919	0.2029872	90.33004	-1.326898	0.5131878	212.76	-1.248393	0.309378	193.7592	0
14433.32	1	book	1	-1.885992	0.2034935	90.03175	-1.326976	0.5134422	214.51	-1.248542	0.3095626	194.3103	0
14444.43	1	book	1	-1.88629	0.2038739	89.88716	-1.327046	0.5134683	216.9518	-1.248448	0.3095654	193.8212	0
14455.54	1	book	1	-1.886878	0.204145	89.8722	-1.326875	0.5132797	212.191	-1.248324	0.3094729	192.9497	0
14466.66	1	book	1	-1.887586	0.2045629	89.88212	-1.326859	0.5132458	214.647	-1.248468	0.3096374	192.676	0
14477.77	1	book	1	-1.887897	0.2048328	89.7674	-1.326819	0.5131994	216.2435	-1.2485	0.309564	193.5706	0
14488.88	1	book	1	-1.888011	0.2051193	89.63986	-1.326845	0.5131473	216.3808	-1.248298	0.3094112	194.4545	0
14499.99	1	book	1	-1.888135	0.2051187	89.47982	-1.327142	0.5133676	215.4731	-1.248399	0.3093697	193.0686	0
14511.1	1	book	1	-1.888813	0.2048762	89.37686	-1.327169	0.5134423	217.1886	-1.248512	0.3094958	192.357	0
14522.21	1	book	1	-1.889099	0.2050086	89.35069	-1.327007	0.5132968	212.5044	-1.248434	0.309507	192.871	0
14533.32	1	book	1	-1.88931	0.2048864	89.25484	-1.326902	0.5133128	216.2185	-1.248286	0.309482	193.5992	0
